beer_id,username,text,score,name,style
5,bry5o5,"Carmel-y, malty, tasty! Very well balanced beer.",4.89,Amber,Vienna Lager
6,LeonardFournette,"Chocolatey, pretty strong hoppiness but another good beer from Louisiana's best brewery",5.0,Turbodog,English Brown Ale
7,Sreyn2,Smooth,5.0,Purple Haze,Fruit and Field Beer
10,RBorsato,"Burgundy, mahogany with a nice light brown head and subdued carbonation but leaves nice lace. Raisiny fruit-cake aroma with light peppery spiciness. NIce chocolate, malty, raisin mix in flavor and not too sweet. Medium-full bodied with spicy alcohol tones ... nice ! A dry finish. An excellent value ! Label states: ""Belgian Style Ale"" & ""Seven malts, a special sugar, and our own Belgian Yeast"" & ""Methode Champenoise"" Per A.B.Co. website: Original Gravity: 1064 Batch #12 (hand numbered) (aged a few years maybe) Tasted: 08/23/03 Batch #27 Tasted: 05/18/05 (with consistent notes) ($4.99 / 25.4 oz. / 750 ml corked tall straight bottle with a wire cage)",4.92,Dubbel Ale,Belgian Dubbel
17,jschalch08,Really good tasting wheat beer,5.0,Widmer Hefeweizen,German Hefeweizen
19,baos,"Drinking whilst typee. A: Dark dark brown with a nice three finger head. Dissipates down to a nice sheen. Looks just about perfect. S: Espresso with sweet cream smell, dark chocolate. T: Awesome coffee bitterness balanced with malts and hops. Comes off almost perfectly bittersweet yumminess. This is the best stout I've had thus far dudes. M: Perfect full bodiness. D: This complex beer has so much going on, yet it remains very mild and refreshing. A definite A+!",5.0,Mackeson Triple XXX Stout,English Sweet / Milk Stout
30,jamesefleming,Exceptional indeed. Those spices really nail it. Always dependable when you want an outstanding strong dark belgian ale. From Canada no less.,5.0,Trois Pistoles,Belgian Strong Dark Ale
31,Wendywowwow,"Like drinking champagne : ) Fabulous, dry, finish!!",5.0,Blanche De Chambly,Belgian Witbier
33,Alexrdvz,Simply perfect!,5.0,Maudite,Belgian Strong Dark Ale
34,beertrek,"Rating: just drink it Price: $ At the end of the day, it's whether you'll drink the beer again and again. This one you can't help but going back to. I don't agree with all of Unibrou's offerings, but La Fin is truly one of the best representation of Belgian ale brewed outside of Belgium. And, a lot cheaper. 750ml bottle purchased all over the USA. If there's any detraction, it would be it's sweeter than some would like. But say you're trying to convince someone to move from a fruit beer to something better, give them this beer. It's full bodied, very malty, very carbonated, very high ABV. I'll grab this beer over and over again...and share with friends!",5.0,La Fin Du Monde,Belgian Tripel
36,JetFeather22,"Now this is a true Scottish Wee Heavy.. Very beautiful looking beer with a nice smooth smelling malt and the taste is unreal with grate tasting malts and no hop taste to speak of, Which is how a Wee Heavy is supposed to be....",5.0,Traquair House Ale,Scotch Ale / Wee Heavy
39,postylambz,"Name makes you think it's going to be overly hoppy, but in reality is the definition of balance. Not sure whether the sweet and bready malt backbone support the hops or if the bright bitterness compliments the malt. Let temper out of the fridge a bit to reveal a sweet, hoppy, Brown ale.",5.0,Alpha King,American Pale Ale (APA)
