beer_id,username,score
607,sheetalbongale,4.5
1352,sheetalbongale,3.9
276,sheetalbongale,4
6108,sheetalbongale,4.7
2093,sheetalbongale,4.7
103,sheetalbongale,3.7
976,sheetalbongale,2.5
3062,sheetalbongale,3.5
39908,sheetalbongale,3.4
1212,sheetalbongale,3.5
131,sheetalbongale,4.5
16814,sheetalbongale,4.4
10754,sheetalbongale,1.2
60330,sheetalbongale,4.7
34420,sheetalbongale,4.3
99130,sheetalbongale,2.7
691,sheetalbongale,3.8
55401,sheetalbongale,1.5
1341,sheetalbongale,1.1
104,sheetalbongale,3.9
10071,sheetalbongale,2.2
1320,sheetalbongale,1.2
976,sheetalbongale,1.9
449,sheetalbongale,1.4
94634,sheetalbongale,4.2
255905,sheetalbongale,3.8
92960,sheetalbongale,3.9
74106,sheetalbongale,2.8
233,sheetalbongale,1.3
104,sheetalbongale,4
