beer_id,username,score
233,tamu94,1.00
1320,tamu94,1.00
246,tamu94,2.00
1160,tamu94,4.30
92,tamu94,3.00
21100,tamu94,4.00
39908,tamu94,3.00
232,tamu94,1.00
1907,tamu94,2.50
2093,tamu94,4.50
653,tamu94,1.00
2512,tamu94,4.50
1696,tamu94,4.30
645,tamu94,4.50
1946,tamu94,4.00
30,tamu94,4.20
607,tamu94,3.30
2755,tamu94,2.80
667,tamu94,2.80
10071,tamu94,2.50
695,tamu94,4.30
689,tamu94,2.50
283,tamu94,4.00
653,tamu94,1.00
1351,tamu94,3.50
1212,tamu94,3.00
2435,tamu94,2.50
104,michellebrucato,2.00
51741,michellebrucato,4.70
125646,michellebrucato,3.00
7,michellebrucato,3.00
2093,michellebrucato,3.50
916,michellebrucato,4.00
48139,michellebrucato,3.20
132073,michellebrucato,4.50
150933,michellebrucato,3.50
1320,michellebrucato,1.00
41821,michellebrucato,1.50
20732,michellebrucato,1.20
837,michellebrucato,1.20
60330,michellebrucato,4.50
40628,michellebrucato,3.70
185413,michellebrucato,3.60
113523,michellebrucato,3.40
57912,michellebrucato,3.30
84045,michellebrucato,3.60
811,michellebrucato,3.00
62586,michellebrucato,4.70
1585,michellebrucato,4.70
667,michellebrucato,2.00
1524,michellebrucato,1.00
104450,michellebrucato,1.00
92448,michellebrucato,4.00
129541,michellebrucato,3.75
70286,michellebrucato,4.00
1352,michellebrucato,2.20
14309,michellebrucato,2.20
607,sheetalbongale,4.50
1352,sheetalbongale,3.90
276,sheetalbongale,4.00
6108,sheetalbongale,4.70
2093,sheetalbongale,4.70
103,sheetalbongale,3.70
976,sheetalbongale,2.50
3062,sheetalbongale,3.50
39908,sheetalbongale,3.40
1212,sheetalbongale,3.50
131,sheetalbongale,4.50
16814,sheetalbongale,4.40
10754,sheetalbongale,1.20
60330,sheetalbongale,4.70
34420,sheetalbongale,4.30
99130,sheetalbongale,2.70
691,sheetalbongale,3.80
55401,sheetalbongale,1.50
1341,sheetalbongale,1.10
104,sheetalbongale,3.90
10071,sheetalbongale,2.20
1320,sheetalbongale,1.20
976,sheetalbongale,1.90
449,sheetalbongale,1.40
94634,sheetalbongale,4.20
255905,sheetalbongale,3.80
92960,sheetalbongale,3.90
74106,sheetalbongale,2.80
233,sheetalbongale,1.30
104,sheetalbongale,4.00
